date,open,high,low,close,adj_close,volume,mms_15,mms_30,mms_compra,mms_venda,mme_50,mme_200,mme_200_adj_120,mme_200_adj_80,prox_mme_adj,bb_upper,bb_central,bb_lower,bb_band_dist,bb_sobrecomprada,bb_sobrevendida,ifr,ifr_sobrecomprada,ifr_sobrevendida,macd,macd_sinal,macd_hist,macd_alta,macd_baixa,%_k,%D,dema,momentum,roc
2000-01-03,5.875,5.875,5.875,5.875,2.139587640762329,35389440000,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-01-04,5.550000190734863,5.550000190734863,5.550000190734863,5.550000190734863,2.0212273597717285,28861440000,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-01-05,5.49399995803833,5.49399995803833,5.49399995803833,5.49399995803833,2.000833034515381,43033600000,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-01-06,5.474999904632568,5.474999904632568,5.474999904632568,5.474999904632568,1.9939135313034055,34055680000,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-01-07,5.5,5.5,5.5,5.5,2.0030176639556885,20912640000,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-01-10,5.61299991607666,5.61299991607666,5.61299991607666,5.61299991607666,2.04417085647583,19563520000,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-01-11,5.474999904632568,5.474999904632568,5.474999904632568,5.474999904632568,1.9939135313034055,23987200000,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-01-12,5.482999801635742,5.482999801635742,5.482999801635742,5.482999801635742,1.9968268871307373,23301120000,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-01-13,5.324999809265137,5.324999809265137,5.324999809265137,5.324999809265137,1.939285397529602,26383360000,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,1.9323421110523686,24.20489722422785,,,
2000-01-14,5.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,1.966599464416504,16657920000,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,10.612927560901701,15.93698170544659,,,
2000-01-17,5.3379998207092285,5.3379998207092285,5.3379998207092285,5.3379998207092285,1.9440208673477173,16573440000,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,11.42320403040363,7.989491234119233,,-0.5370001792907715,-9.14042858367271
2000-01-18,5.36299991607666,5.36299991607666,5.36299991607666,5.36299991607666,1.953125238418579,17925120000,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,19.440104588725646,13.825412060010327,,-0.18700027465820312,-3.3693742023717443
2000-01-19,5.324999809265137,5.324999809265137,5.324999809265137,5.324999809265137,1.939285397529602,38883840000,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,10.759519138876314,13.874275919335197,,-0.16900014877319336,-3.0760857310515144
2000-01-20,5.313000202178955,5.313000202178955,5.313000202178955,5.313000202178955,1.934915542602539,26268160000,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,8.016900558322016,12.738841428641324,,-0.16199970245361328,-2.958898726492032
2000-01-21,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,1.893762826919556,17512960000,5.448599942525228,,0,0,,,,,,,,,,0,0,21.079702440734533,0,1,,,,0,0,0.0,6.258806565732776,,-0.3000001907348633,-5.454548922452062
2000-01-24,5.163000106811523,5.163000106811523,5.163000106811523,5.163000106811523,1.8802876472473145,18385920000,5.4011332829793295,,0,0,,,,,,,,,,0,0,20.38372475057162,0,1,,,,0,0,0.0,2.672300186107338,,-0.4499998092651367,-8.01709987517112
2000-01-25,5.163000106811523,5.163000106811523,5.163000106811523,5.163000106811523,1.8802876472473145,0,5.37533327738444,,0,0,,,,,,,,,,0,0,20.38372475057162,0,1,,,,0,0,0.0,-5.921189464667501e-16,,-0.3119997978210449,-5.698626543482721
2000-01-26,5.224999904632568,5.224999904632568,5.224999904632568,5.224999904632568,1.9028674364089968,25917440000,5.357399940490723,,0,0,,,,,,,,,,0,0,25.184213918826593,0,1,,,,0,0,13.777724089480024,4.592574696493341,,-0.25799989700317383,-4.705451510798975
2000-01-27,5.188000202178955,5.188000202178955,5.188000202178955,5.188000202178955,1.8893924951553345,38379520000,5.338266626993815,,0,0,,,,,,,,,,0,0,24.244721084052852,0,1,,,,0,0,27.218679407641684,13.665467832373901,,-0.13699960708618164,-2.5727626665415393
2000-01-28,5.188000202178955,5.188000202178955,5.188000202178955,5.188000202178955,1.8893924951553345,17894400000,5.3174666404724125,,0,0,,,,,,5.7353436052372535,5.382799983024597,5.030256360811941,0.7234042491117614,0,0,24.244721084052852,0,1,,,,0,0,40.659634725803336,27.218679407641684,,-0.21199989318847656,-3.925923878600446
2000-01-31,5.10099983215332,5.10099983215332,5.10099983215332,5.10099983215332,1.8577091693878172,32266240000,5.2833333015441895,,0,0,,,,,,5.63689057664788,5.344099974632263,5.051309372616646,0.6007936387239667,0,0,22.006007361269038,0,1,,,,0,0,26.881910636323312,31.58674158992278,,-0.2369999885559082,-4.439865052757142
2000-02-01,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,1.893762826919556,23672320000,5.264999961853027,,0,0,,,,,,5.609752433372253,5.326599955558777,5.043447477745301,0.5810166251518063,0,0,29.934395780472844,0,1,,,,0,0,40.05383683573348,35.86512739928671,,-0.16300010681152344,-3.03934569014066
2000-02-02,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,1.930180907249451,14272000000,5.252799987792969,,0,0,,,,,,5.589546118691261,5.316899967193604,5.044253815695947,0.5594580984318468,0,0,36.910776792369155,0,0,,,,0,0,59.94621485090516,42.293987440987316,,-0.024999618530273438,-0.46947642114044674
2000-02-03,5.449999809265137,5.449999809265137,5.449999809265137,5.449999809265137,1.9848092794418333,25950720000,5.2611333211263025,,0,0,,,,,,5.585601197701287,5.315649962425232,5.045698727149176,0.5539282470236924,0,0,45.65217092090572,0,0,,,,0,0,93.27954818423848,64.42653329029237,,0.13699960708618164,2.578573345997537
