date,open,high,low,close,adj_close,volume,mms_15,mms_30,mms_compra,mms_venda,mme_50,mme_200,mme_200_adj_120,mme_200_adj_80,prox_mme_adj,bb_upper,bb_central,bb_lower,bb_band_dist,bb_sobrecomprada,bb_sobrevendida,ifr,ifr_sobrecomprada,ifr_sobrevendida,macd,macd_sinal,macd_hist,macd_alta,macd_baixa,%k,%D,dema,momentum,roc
2008-02-27,21.93939018249512,22.695920944213867,21.69829750061035,22.421573638916016,12.921353340148926,0.0,20.24592514038086,20.084365590413412,1,0,,,,,,22.1189029557646,20.06011791229248,18.00133286882036,4.224537772398085,1,0,66.21297839559239,0,0,0.20270975109286127,-0.2399442662517477,0.44265401734460896,0,0,93.99521662005793,93.602867823958,,2.1365737915039062,10.532776966111168
2008-02-28,22.32181167602539,22.592002868652344,22.030839920043945,22.579530715942383,13.01238250732422,0.0,20.516946029663085,20.103071022033692,0,0,,,,,,22.52315567486592,20.191471576690674,17.85978747851543,4.7845148172580565,1,0,67.16561547302608,0,0,0.3251959019568247,-0.1269162326100332,0.4521121345668579,0,0,93.7240287369367,95.17137597145351,,2.789186477661133,14.093673379697446
2008-02-29,22.32181167602539,22.40494728088379,21.82715606689453,21.947702407836918,12.64826488494873,0.0,20.754989878336588,20.132168324788413,0,0,,,,,,22.74130237789944,20.291441631317138,17.841580884734835,5.027008183233266,0,0,59.89139179202074,0,0,0.36705264056881504,-0.02812245797426355,0.3951750985430786,0,0,81.80263928809593,89.84062821503021,,2.0368118286132812,10.229636994432735
2008-03-03,21.78143310546875,22.592002868652344,21.78143310546875,22.47976875305176,12.954886436462402,0.0,20.978900782267253,20.19147148132324,0,0,,,,,,23.035713484668143,20.444202613830566,17.852691742992988,5.317668105345377,0,0,63.47846370562592,0,0,0.43810748450624715,0.0651235305218386,0.37298395398440853,0,0,81.35392855395001,85.62686552632756,,2.1116352081298864,10.367347619126122
2008-03-04,22.425731658935547,22.641883850097656,21.806373596191406,22.01421165466309,12.691110610961914,0.0,21.130206934611003,20.264076296488444,0,0,,,,,,23.20425544567815,20.577011108398438,17.949766771118725,5.390991631374584,0,0,58.54466251855446,0,0,0.45164609815264356,0.14242804404799958,0.309218054104644,0,0,60.2078666866363,74.45481150956077,,1.9786186218261719,9.875518127081918
2008-03-05,22.238676071166992,22.650196075439453,22.080720901489254,22.6252555847168,13.043370246887209,0.0,21.28622398376465,20.3546937306722,0,0,,,,,,23.410084654344985,20.766767311096192,18.1234499678474,5.423972743729108,0,0,62.6481364344083,0,0,0.5058505551374104,0.21511254626588175,0.2907380088715287,0,0,72.01691267729622,71.19290263929419,,2.1781444549560547,10.652577966311183
2008-03-06,22.40494728088379,22.554590225219727,21.615163803100582,21.615163803100582,12.461067199707031,0.0,21.407878621419272,20.435057830810546,0,0,,,,,,23.375409336085088,20.92181463241577,18.468219928746453,5.03467010151101,0,0,53.262460886752315,0,0,0.4619766336701936,0.26448536374674414,0.19749126992344945,0,0,42.931956015416716,58.38557845978309,,1.2428722381591761,6.100797419854476
2008-03-07,21.477989196777344,21.57359504699707,20.90851211547852,21.24105453491211,12.245389938354492,0.0,21.49655621846517,20.502951622009277,0,0,,,,,,23.22448576500867,21.06501512527466,18.90554448554065,4.431140256661202,0,0,50.25918561149605,0,0,0.3924943133071075,0.2900871536588168,0.10240715964829067,0,0,38.74078336133712,51.2298840180167,,0.374109268188473,1.7928319809467297
2008-03-10,21.199485778808597,21.30340576171875,20.596755981445312,20.858631134033203,12.02492618560791,0.0,21.529256057739257,20.57264664967855,0,0,,,,,,23.12315629189521,21.151891422271728,19.180626552648246,4.044950164919227,0,0,47.321768921687976,0,0,0.30307701821398325,0.29268512656985013,0.010391891644133122,0,0,10.615384009633202,30.76270779546236,,-0.44061851501464844,-2.0687044016799216
2008-03-11,21.407323837280277,21.9768009185791,21.1911735534668,21.84378433227539,12.592866897583008,0.0,21.64980214436849,20.62723878224691,0,0,,,,,,23.13873183581971,21.256849670410155,19.3749675050006,3.861540725770593,0,0,54.671412707658384,0,0,0.30815458324907397,0.2957790179056949,0.01237556534337908,0,0,30.858298237280763,26.738155202750377,,-0.2909736633300781,-1.3145554308199192
2008-03-12,21.90613555908203,22.12228775024414,21.36991310119629,21.57359504699707,12.437098503112791,0.0,21.724901072184245,20.666035207112632,0,0,,,,,,23.153229980930575,21.321279430389403,19.48932887984823,3.7590832138914103,0,0,52.5076639140776,0,0,0.2870674381318672,0.29403670195092935,-0.006969263819062155,0,1,41.12519968968815,27.532960645534057,,-0.8479785919189453,-3.781976259004194
2008-03-13,21.236896514892575,21.9851131439209,20.97086334228516,21.735708236694336,12.530552864074709,0.0,21.815795516967775,20.725476900736492,0,0,,,,,,23.116721986310324,21.41854763031006,19.720373274309793,3.484580254644793,0,0,53.69190033525495,0,0,0.2802068530941568,0.29127073217957483,-0.011063879085418005,0,0,61.76065404065614,44.58138398920837,,-0.8438224792480469,-3.737112563868572
2008-03-14,21.98927116394043,22.030839920043945,20.95423698425293,21.486303329467773,12.386770248413086,0.0,21.85708605448405,20.77674363454183,0,0,20.78098346710205,,,,,23.048217716611948,21.497318267822266,19.946418819032584,3.1823785214379745,0,0,51.56173303394935,0,0,0.2517429622107059,0.28336517818580104,-0.031622215975095125,0,0,60.95462003659278,54.613491255645705,,-0.4613990783691442,-2.102265967504602
2008-03-17,20.779653549194336,20.987491607666016,20.28915405273437,20.783809661865234,11.981788635253906,0.0,21.822723388671875,20.822052319844563,0,0,20.781094298269235,,,,,23.018224906101214,21.518102073669432,20.01797924123765,3.0781871030870485,0,0,46.023096379611324,0,0,0.1705339464424398,0.26079893183712877,-0.09026498539468897,0,0,53.31805136143453,58.67777514622784,,-1.695959091186527,-7.54437961447575
2008-03-18,21.116350173950195,21.4239501953125,20.97086334228516,21.38654136657715,12.329261779785156,0.0,21.772842280069987,20.88966897328695,0,0,20.80483732055582,,,,,22.92580356025975,21.585649490356445,20.24549542045314,2.7499381283592554,0,0,50.896721964349425,0,0,0.15304640402047198,0.23924842627379742,-0.08620202225332543,0,0,48.38626755116713,54.21964631639816,,-0.627670288085941,-2.8512049303977105
